A:char(25)	B:char(25)	C:int	D:int	E:char(25)
Alaska	Louisiana	9	59	Baboon
Georgia	Florida	8	83	Goose
Michigan	Japan	6	22	Cheetah
Georgia	Nauru	7	75	Hamster
Montana	DOMINICAN_REPUBLIC	0	50	Anatidae
Texas	New_Jersey	6	34	Squaliformes
Oklahoma	France	4	26	Magpie
Michigan	Illinois	3	83	Scoliodon
New_Hampshire	Louisiana	5	23	Otter
Colorado	New_Jersey	3	48	Dolphin
Colorado	Mississippi	8	20	Flamingo
Delaware	Uruguay	7	84	Giraffe
Hawaii	Oregon	1	5	Heron
Delaware	Malawi	0	18	Echinorhinus
Texas	Virginia	7	92	Lamniformes
Texas	Colombia	3	0	Parascyllium
Maryland	Tennessee	7	44	Quail
Mississippi	Washington	0	71	Goose
Oregon	Slovenia	9	48	Sheep
Idaho	France	3	44	Coccinellidae
Wisconsin	Massachusetts	6	87	Hyena
Colorado	Tonga	3	22	Moose
New_York	Louisiana	2	76	Fox
Arkansas	CZECH_REPUBLIC	4	45	Human
Alaska	Nepal	5	85	Cheetah
Alabama	Australia	7	99	Black_panther
Missouri	Croatia	1	92	Angel_shark
Nevada	Slovenia	6	30	Chiloscyllium
Nebraska	Maryland	3	20	Mule
North_Carolina	Turkey	3	64	Carcharhinus
Florida	Mozambique	5	75	Sphyrna_lewini
Alabama	Texas	5	5	Pygmy_Shark
Ohio	New_Jersey	1	22	Hemitriakis
Illinois	Zambia	2	52	Parascyllium
Alaska	Ireland	6	18	Lamniformes
New_Jersey	Ireland	2	10	Giraffe
Kansas	Alabama	1	75	Hawk
Alaska	Massachusetts	0	2	Camel
Wisconsin	Saudi_Arabia	5	33	Dolphin
Pennsylvania	Netherlands	1	2	Gazelle
Ohio	Pennsylvania	6	80	Mouse
Alabama	Greece	0	14	Baboon
Nebraska	EL_SALVADOR	7	68	Giraffe
Maine	Greece	9	90	Poroderma
Delaware	Louisiana	4	82	Donkey
South_Carolina	Slovakia	1	86	Moose
South_Carolina	Tanzania	0	22	Isogomphodon
Louisiana	Namibia	8	17	Bullhead_shark
Oregon	Thailand	5	52	Wren
Indiana	Oregon	9	79	Coccinellidae
New_York	Pennsylvania	0	48	Triakis
Mississippi	Florida	4	87	Lamniformes
Arkansas	Tunisia	9	55	Triaenodon
Montana	Rhode_Island	8	52	Coccinellidae
Oklahoma	NEW_ZEALAND	8	83	Skunk
Alabama	Malawi	6	55	Whale_Shark
Maine	Spain	0	22	Hawk
Florida	Tonga	2	48	Louse
Illinois	Wyoming	4	71	Zebra
North_Dakota	Barbados	1	80	Coccinellidae
Illinois	California	1	92	Jaguar
Colorado	EQUATORIAL_GUINEA	9	68	Rhizoprionodon
Wisconsin	Massachusetts	9	57	Lion
Connecticut	France	0	7	Ostrich
Oregon	Nauru	9	82	Lamna
North_Carolina	Saudi_Arabia	4	69	Cormorant
Pennsylvania	North_Carolina	8	10	Dolphin
Utah	Virginia	6	74	Hamster
South_Carolina	Finland	4	13	Manatee
Utah	Tanzania	3	24	Pelican
Pennsylvania	Wyoming	2	12	Hemiscyllium
Idaho	Malaysia	1	74	Orectolobus
Mississippi	Australia	9	92	Heron
West Virginia	Hawaii	3	48	Coccinellidae
Florida	Australia	6	66	Chamois
New_York	Slovakia	0	82	Orectolobus
North_Dakota	Ghana	4	39	Goose
Virginia	Australia	3	32	Cheetah
Indiana	Massachusetts	9	49	Otter
Alabama	New_Mexico	0	53	Zebra
Massachusetts	Nigeria	4	35	Wren
Hawaii	Sudan	5	92	Nightingale
Minnesota	Ethiopia	0	52	Coyote
Massachusetts	MARSHALL_ISLANDS	9	24	Apristurus
Nevada	Madagascar	6	45	Pygmy_Shark
South_Dakota	Serbia	0	80	Pygmy_Shark
New_Mexico	Missouri	4	39	Chiloscyllium
Arizona	Romania	3	10	Moose
North_Carolina	Washington	6	80	Cobra
Pennsylvania	EL_SALVADOR	0	60	Squaliformes
Alabama	Samoa	3	67	Donkey
Kansas	Serbia	6	80	American_Bison
Alabama	Denmark	5	27	Mouse
Alabama	Luxembourg	2	48	Dolphin
Illinois	Denmark	0	36	Polecat
South_Dakota	Massachusetts	4	80	Human
New_Mexico	Lithuania	6	21	Squaliformes
New_Jersey	Switzerland	7	12	Black_panther
North_Dakota	Samoa	4	97	Zebra
Arizona	Zimbabwe	5	61	Fox
California	Uzbekistan	6	65	Giraffe
West Virginia	Vatican_City	8	88	Rhinoceros
Kansas	Serbia	4	49	Goldfinch
South_Dakota	Tuvalu	1	76	Gazelle
New_Mexico	Mississippi	1	89	Rhinoceros
North_Dakota	Tuvalu	7	15	Bison
Hawaii	DOMINICAN_REPUBLIC	7	58	Mallard
Maryland	Malawi	9	77	Zebra
Virginia	Cyprus	0	77	Negaprion
Ohio	Serbia	8	27	Triaenodon
Oregon	Canada	5	84	Lamniformes
New_Hampshire	Guatemala	3	94	Hawk
Arizona	Romania	5	38	Zebra
Nevada	Tonga	1	22	Gerbil
Alabama	Wisconsin	5	94	Flamingo
Connecticut	Finland	3	11	Goldfinch
Colorado	Uganda	3	3	Sawshark
Delaware	Texas	6	32	Raven
Florida	Vatican_City	1	84	Moose
Idaho	Massachusetts	9	46	Cheetah
West Virginia	Denmark	9	47	Parmaturus
New_York	Ukraine	0	37	Cobra
Florida	Zimbabwe	9	72	Fish
